Question,Answer
What does CPU stand for?,Central Processing Unit
Who is known as the father of computers?,Charles Babbage
What does RAM stand for?,Random Access Memory
What is the main function of an operating system?,To manage computer resources
What does HTML stand for?,Hypertext Markup Language
Which component is responsible for displaying graphics on the screen?,Graphics Processing Unit
What is the smallest unit of data in a computer?,Bit
What does URL stand for?,Uniform Resource Locator
Which programming language is commonly used for web development?,HTML
What does HTTP stand for?,Hypertext Transfer Protocol
What does GPU stand for?,Graphics Processing Unit
What does ALU stand for?,Arithmetic Logic Unit